Ticker,Description,Sector,weight
NVDA,NVIDIA CORP,Information Technology,8.61
AAPL,APPLE INC,Information Technology,6.93
MSFT,MICROSOFT CORP,Information Technology,4.93
AMZN,AMAZON.COM INC,Consumer Discretionary,4.06
GOOGL,ALPHABET INC CL A,Communication Services,3.63
AVGO,BROADCOM INC,Information Technology,3.17
GOOG,ALPHABET INC CL C,Communication Services,2.89
META,META PLATFORMS INC CLASS A,Communication Services,2.11
TSLA,TESLA INC,Consumer Discretionary,1.87
BRK-B,BERKSHIRE HATHAWAY INC CL B,Financials,1.39
MU,MICRON TECHNOLOGY INC,Information Technology,1.28
JPM,JPMORGAN CHASE + CO,Financials,1.26
LLY,ELI LILLY + CO,Health Care,1.25
AMD,ADVANCED MICRO DEVICES,Information Technology,1.09
XOM,EXXON MOBIL CORP,Energy,1.04
WMT,WALMART INC,Consumer Staples,0.91
V,VISA INC CLASS A SHARES,Financials,0.86
JNJ,JOHNSON + JOHNSON,Health Care,0.86
INTC,INTEL CORP,Information Technology,0.8
CSCO,CISCO SYSTEMS INC,Information Technology,0.73
COST,COSTCO WHOLESALE CORP,Consumer Staples,0.73
CAT,CATERPILLAR INC,Industrials,0.65
MA,MASTERCARD INC A,Financials,0.63
ABBV,ABBVIE INC,Health Care,0.58
NFLX,NETFLIX INC,Communication Services,0.58
CVX,CHEVRON CORP,Energy,0.56
UNH,UNITEDHEALTH GROUP INC,Health Care,0.56
LRCX,LAM RESEARCH CORP,Information Technology,0.56
AMAT,APPLIED MATERIALS INC,Information Technology,0.55
BAC,BANK OF AMERICA CORP,Financials,0.52
PG,PROCTER + GAMBLE CO/THE,Consumer Staples,0.52
ORCL,ORACLE CORP,Information Technology,0.51
KO,COCA COLA CO/THE,Consumer Staples,0.49
PLTR,PALANTIR TECHNOLOGIES INC A,Information Technology,0.48
HD,HOME DEPOT INC,Consumer Discretionary,0.47
GE,GENERAL ELECTRIC,Industrials,0.46
PM,PHILIP MORRIS INTERNATIONAL,Consumer Staples,0.46
GS,GOLDMAN SACHS GROUP INC,Financials,0.45
GEV,GE VERNOVA INC,Industrials,0.44
MRK,MERCK + CO. INC.,Health Care,0.43
TXN,TEXAS INSTRUMENTS INC,Information Technology,0.43
LIN,LINDE PLC,Materials,0.37
KLAC,KLA CORP,Information Technology,0.37
MS,MORGAN STANLEY,Financials,0.36
RTX,RTX CORP,Industrials,0.36
WFC,WELLS FARGO + CO,Financials,0.36
C,CITIGROUP INC,Financials,0.34
QCOM,QUALCOMM INC,Information Technology,0.34
SNDK,SANDISK CORP,Information Technology,0.33
IBM,INTL BUSINESS MACHINES CORP,Information Technology,0.32
ADI,ANALOG DEVICES INC,Information Technology,0.32
PEP,PEPSICO INC,Consumer Staples,0.32
MCD,MCDONALD S CORP,Consumer Discretionary,0.31
PANW,PALO ALTO NETWORKS INC,Information Technology,0.31
VZ,VERIZON COMMUNICATIONS INC,Communication Services,0.31
